Vpin ID,X coordinate,Y coordinate,WL down to L1,Pin Type,NumberLayer One Pins,Ave Cell Area Input,Ave Cell Area Output,Ave Pin X coordinate,Ave Pin Y coordinate,CongestionCrouting,CongestionPlacement,Matching Vpin ID
S1160,8448,8928,116,I,1,45.0,0.0,9440.0,6464.0,0.27040816326530615,0.03328402366863906,S1161
S1161,7968,8928,25,I,1,45.0,0.0,7808.0,9312.0,0.17346938775510204,0.09504437869822485,S1160
S1167,11264,5376,33,O,1,0.0,243.0,11264.0,4576.0,0.00510204081632653,0.032914201183431954,S1168
S1168,8480,5376,135,I,1,45.0,0.0,7392.0,8352.0,0.09693877551020408,0.03365384615384615,S1167
S1194,7424,9600,10,I,1,45.0,0.0,7360.0,9600.0,0.5561224489795918,0.09911242603550297,S1195
S1195,8480,9600,8,I,1,45.0,0.0,8480.0,9600.0,0.37244897959183676,0.09615384615384616,S1194
S1196,7488,9536,13,I,1,45.0,0.0,7328.0,9536.0,0.5102040816326531,0.09319526627218935,S1197
S1197,8480,9536,8,I,1,45.0,0.0,8480.0,9536.0,0.39285714285714285,0.09245562130177515,S1196
S1204,9888,8960,10,I,1,81.0,0.0,9888.0,8896.0,0.3163265306122449,0.05917159763313609,S1205
S1205,8544,8960,48,O,1,0.0,45.0,7360.0,8864.0,0.30612244897959184,0.060650887573964495,S1204
S1210,7424,6656,30,O,1,0.0,225.0,7168.0,6208.0,0.2857142857142857,0.058431952662721894,S1211
S1211,7712,6656,99,I,1,198.0,0.0,7232.0,9088.0,0.2193877551020408,0.06878698224852071,S1210
S1217,7328,7712,34,O,1,0.0,261.0,7232.0,6976.0,0.15816326530612246,0.05547337278106509,S1218
S1218,7232,7712,39,I,1,198.0,0.0,7232.0,8704.0,0.14285714285714285,0.05362426035502959,S1217
S1219,7552,6624,33,O,1,0.0,225.0,7200.0,6176.0,0.2602040816326531,0.058431952662721894,S1220
S1220,7584,6624,87,I,1,198.0,0.0,7200.0,8704.0,0.24489795918367346,0.05325443786982249,S1219
S1221,8768,9408,53,I,1,81.0,0.0,10144.0,9472.0,0.32653061224489793,0.09023668639053255,S1222
S1222,8000,9408,8,I,1,108.0,0.0,8000.0,9408.0,0.3112244897959184,0.10392011834319527,S1221
S1223,8736,9344,8,I,1,45.0,0.0,8736.0,9344.0,0.3673469387755102,0.08247041420118344,S1224
S1224,7488,9344,21,O,1,0.0,36.0,7392.0,9024.0,0.5,0.06767751479289941,S1223
S1229,11680,4512,8,O,1,0.0,225.0,11680.0,4512.0,0.17346938775510204,0.03994082840236687,S1230
S1230,10688,4512,13,I,1,81.0,0.0,10592.0,4576.0,0.2193877551020408,0.03587278106508876,S1229
S1237,12192,9632,60,IO,2,81.0,225.0,12864.0,9616.0,0.1989795918367347,0.07840236686390532,S1238
S1238,8640,9632,8,I,1,45.0,0.0,8640.0,9632.0,0.34183673469387754,0.09652366863905325,S1237
S1239,7264,9408,8,I,1,45.0,0.0,7264.0,9408.0,0.5714285714285714,0.08357988165680473,S1240
S1240,7520,9408,8,I,1,45.0,0.0,7520.0,9408.0,0.5153061224489796,0.09393491124260354,S1239
S1241,17152,9440,8,O,1,0.0,225.0,17152.0,9440.0,0.3010204081632653,0.055103550295857985,S1242
S1242,11808,9440,17,I,1,81.0,0.0,11552.0,9408.0,0.25510204081632654,0.0632396449704142,S1241
S1243,12864,2880,8,O,1,0.0,225.0,12864.0,2880.0,0.01020408163265306,0.005177514792899409,S1244
S1244,9856,2880,76,I,1,81.0,0.0,9856.0,5056.0,0.00510204081632653,0.029585798816568046,S1243
S1245,9344,7424,234,IO,2,81.0,225.0,11728.0,4848.0,0.09183673469387756,0.029585798816568046,S1246
S1246,7488,7424,54,I,1,36.0,0.0,7008.0,8416.0,0.1836734693877551,0.04142011834319527,S1245
S1262,10080,7424,8,I,1,135.0,0.0,10080.0,7424.0,0.413265306122449,0.0632396449704142,S1263
S1263,10304,7424,79,O,1,0.0,36.0,9888.0,5568.0,0.413265306122449,0.014053254437869823,S1262
S1266,11136,6112,56,I,1,81.0,0.0,11136.0,4576.0,0.025510204081632654,0.03439349112426036,S1267
S1267,7360,6112,8,I,1,45.0,0.0,7360.0,6112.0,0.1326530612244898,0.05695266272189349,S1266
S1272,11008,5984,52,I,1,81.0,0.0,11008.0,4576.0,0.02040816326530612,0.03069526627218935,S1273
S1273,7424,5984,8,I,1,45.0,0.0,7424.0,5984.0,0.11224489795918367,0.053994082840236685,S1272
S1278,22080,8256,112,O,1,0.0,225.0,22080.0,11584.0,0.04081632653061224,0.03698224852071006,S1279
S1279,12224,8256,31,I,1,81.0,0.0,12224.0,8992.0,0.09693877551020408,0.07359467455621302,S1278
S1288,8832,6432,8,I,1,45.0,0.0,8832.0,6432.0,0.07653061224489796,0.022189349112426034,S1289
S1289,7968,6432,8,I,1,45.0,0.0,7968.0,6432.0,0.15306122448979592,0.03254437869822485,S1288
S1292,7680,6784,25,O,1,0.0,225.0,7424.0,6496.0,0.2653061224489796,0.051775147928994084,S1293
S1293,7776,6784,82,I,1,63.0,0.0,7360.0,8736.0,0.23979591836734693,0.058431952662721894,S1292
S1296,7712,6912,66,O,1,0.0,243.0,7168.0,5600.0,0.25510204081632654,0.05621301775147929,S1297
S1297,7776,6912,75,II,2,72.0,0.0,7408.0,8368.0,0.23469387755102042,0.03883136094674556,S1296
S1298,7584,6688,64,O,1,0.0,225.0,7072.0,5408.0,0.2602040816326531,0.05140532544378698,S1299
S1299,7616,6688,76,I,1,63.0,0.0,7232.0,8480.0,0.2602040816326531,0.045488165680473376,S1298
S1300,8864,9280,99,O,1,0.0,27.0,8864.0,6368.0,0.39285714285714285,0.02329881656804734,S1301
S1301,8768,9280,8,I,1,36.0,0.0,8768.0,9280.0,0.3520408163265306,0.07840236686390532,S1300
S1304,9312,9024,22,I,1,36.0,0.0,9184.0,9344.0,0.3520408163265306,0.07803254437869822,S1305
S1305,9280,9024,91,O,1,0.0,36.0,9376.0,6464.0,0.3469387755102041,0.03439349112426036,S1304
S1306,7680,7520,56,O,1,0.0,81.0,7104.0,8480.0,0.1683673469387755,0.04326923076923077,S1307
S1307,9824,7520,8,I,1,36.0,0.0,9824.0,7520.0,0.3163265306122449,0.058431952662721894,S1306
S1318,7520,7456,69,II,2,243.0,0.0,7104.0,8064.0,0.19387755102040816,0.040680473372781065,S1319
S1319,9728,7456,8,I,1,81.0,0.0,9728.0,7456.0,0.25510204081632654,0.05362426035502959,S1318
S1320,7136,9664,58,I,1,243.0,0.0,7136.0,8064.0,0.6020408163265306,0.04807692307692308,S1321
S1321,8576,9664,14,I,1,81.0,0.0,8576.0,9472.0,0.3520408163265306,0.09023668639053255,S1320
S1322,7328,9600,63,II,2,243.0,0.0,7248.0,8560.0,0.5867346938775511,0.05658284023668639,S1323
S1323,8608,9600,8,I,1,81.0,0.0,8608.0,9600.0,0.32142857142857145,0.09541420118343195,S1322
S1324,7296,9760,37,I,1,243.0,0.0,7296.0,8832.0,0.6020408163265306,0.057692307692307696,S1325
