Vpin ID,X coordinate,Y coordinate,WL down to L1,Pin Type,NumberLayer One Pins,Ave Cell Area Input,Ave Cell Area Output,Ave Pin X coordinate,Ave Pin Y coordinate,CongestionCrouting,CongestionPlacement,Matching Vpin ID
S613,14752,5024,90,O,1,0.0,45.0,14752.0,7648.0,0.21428571428571427,0.04585798816568047,S614
S614,16288,5024,8,I,1,45.0,0.0,16288.0,5024.0,0.29591836734693877,0.08062130177514792,S613
S615,15424,2432,64,I,1,36.0,0.0,15264.0,4064.0,0.09693877551020408,0.015532544378698224,S616
S616,20480,2432,8,O,1,0.0,243.0,20480.0,2432.0,0.10204081632653061,0.028476331360946745,S615
S617,21792,4832,37,O,1,0.0,225.0,21920.0,4032.0,0.025510204081632654,0.0014792899408284023,S618
S618,16416,4832,8,I,1,45.0,0.0,16416.0,4832.0,0.3112244897959184,0.07729289940828403,S617
S619,20960,6624,31,O,1,0.0,225.0,20960.0,7360.0,0.3826530612244898,0.05362426035502959,S620
S620,16192,6624,8,I,1,117.0,0.0,16192.0,6624.0,0.21428571428571427,0.058801775147928996,S619
S621,15328,3136,39,I,1,36.0,0.0,15264.0,4064.0,0.05102040816326531,0.015532544378698224,S622
S622,20896,3136,8,O,1,0.0,225.0,20896.0,3136.0,0.10204081632653061,0.017381656804733726,S621
S623,21728,2720,8,O,1,0.0,225.0,21728.0,2720.0,0.015306122448979591,0.013313609467455622,S624
S624,15424,2720,51,I,1,36.0,0.0,15296.0,3968.0,0.07142857142857142,0.01220414201183432,S623
S625,16608,640,134,I,1,126.0,0.0,16416.0,4480.0,0.08163265306122448,0.058801775147928996,S626
S626,19776,640,8,O,1,0.0,225.0,19776.0,640.0,0.061224489795918366,0.006656804733727811,S625
S629,15456,2560,57,I,1,36.0,0.0,15296.0,3968.0,0.08163265306122448,0.01220414201183432,S630
S630,20064,2560,8,O,1,0.0,225.0,20064.0,2560.0,0.09183673469387756,0.03883136094674556,S629
S633,20960,4192,9,O,1,0.0,225.0,20960.0,4160.0,0.15816326530612246,0.022928994082840236,S634
S634,16448,4192,8,I,1,45.0,0.0,16448.0,4192.0,0.09183673469387756,0.03772189349112426,S633
S635,18208,576,8,O,1,0.0,54.0,18208.0,576.0,0.09693877551020408,0.02551775147928994,S636
S636,16384,576,127,I,1,45.0,0.0,16384.0,4384.0,0.07653061224489796,0.053994082840236685,S635
S637,20032,2240,8,O,1,0.0,225.0,20032.0,2240.0,0.12755102040816327,0.034023668639053255,S638
S638,16384,2240,77,I,1,45.0,0.0,16384.0,4448.0,0.05612244897959184,0.05658284023668639,S637
S639,20992,3296,8,O,1,0.0,225.0,20992.0,3296.0,0.07142857142857142,0.014423076923076924,S640
S640,16288,3296,62,I,1,45.0,0.0,16288.0,5024.0,0.09183673469387756,0.08062130177514792,S639
S641,20928,3328,8,O,1,0.0,243.0,20928.0,3328.0,0.09693877551020408,0.01664201183431953,S642
S642,16256,3328,60,I,1,45.0,0.0,16256.0,4992.0,0.09183673469387756,0.07840236686390532,S641
S643,16384,1696,71,I,1,45.0,0.0,16384.0,3712.0,0.11224489795918367,0.026627218934911243,S644
S644,19200,1696,8,O,1,0.0,225.0,19200.0,1696.0,0.2755102040816326,0.03439349112426036,S643
S651,16192,896,118,I,1,126.0,0.0,16192.0,4416.0,0.08163265306122448,0.052884615384615384,S652
S652,19072,896,8,O,1,0.0,225.0,19072.0,896.0,0.15816326530612246,0.026627218934911243,S651
S655,20960,4960,8,O,1,0.0,225.0,20960.0,4960.0,0.29081632653061223,0.03772189349112426,S656
S656,16544,4960,15,I,1,45.0,0.0,16384.0,5024.0,0.3520408163265306,0.08136094674556213,S655
S659,20032,2496,8,O,1,0.0,225.0,20032.0,2496.0,0.07653061224489796,0.039571005917159764,S660
S660,16448,2496,56,I,1,117.0,0.0,16448.0,4032.0,0.07653061224489796,0.03143491124260355,S659
S661,16320,544,155,I,1,45.0,0.0,16448.0,5120.0,0.07142857142857142,0.08764792899408284,S662
S662,18208,544,8,O,1,0.0,54.0,18208.0,544.0,0.08673469387755102,0.02477810650887574,S661
S663,14720,5024,91,O,1,0.0,45.0,14720.0,7680.0,0.20918367346938777,0.04400887573964497,S664
S664,16448,5024,8,I,1,45.0,0.0,16448.0,5024.0,0.33163265306122447,0.08542899408284024,S663
S672,16320,608,125,I,1,45.0,0.0,16320.0,4352.0,0.07142857142857142,0.051775147928994084,S673
S673,19840,608,8,O,1,0.0,225.0,19840.0,608.0,0.04591836734693878,0.005547337278106509,S672
S676,20960,4000,8,O,1,0.0,225.0,20960.0,4000.0,0.11224489795918367,0.022189349112426034,S677
S677,16800,4000,93,II,2,67.5,0.0,15792.0,4720.0,0.10204081632653061,0.053994082840236685,S676
