Vpin ID,X coordinate,Y coordinate,WL down to L1,Pin Type,NumberLayer One Pins,Ave Cell Area Input,Ave Cell Area Output,Ave Pin X coordinate,Ave Pin Y coordinate,CongestionCrouting,CongestionPlacement,Matching Vpin ID
S70,32,5880,6,I,1,18.0,0.0,32.0,5880.0,0.23484848484848486,0.05,S71
S71,11680,7120,6,I,1,126.0,0.0,11680.0,7120.0,0.8333333333333334,0.19411764705882353,S70
S92,64,1640,115,I,1,18.0,0.0,32.0,5880.0,0.12121212121212122,0.05,S93
S93,11648,7080,6,I,1,126.0,0.0,11648.0,7080.0,0.75,0.19019607843137254,S92
S94,32,3360,69,I,1,18.0,0.0,32.0,5880.0,0.007575757575757576,0.05,S95
S95,11616,7040,6,I,1,126.0,0.0,11616.0,7040.0,0.7424242424242424,0.21176470588235294,S94
S100,0,5880,6,I,1,18.0,0.0,0.0,5880.0,0.23484848484848486,0.05,S101
S101,11712,7120,6,I,1,126.0,0.0,11712.0,7120.0,0.8333333333333334,0.18235294117647058,S100
S102,256,1880,113,I,1,18.0,0.0,32.0,5880.0,0.12121212121212122,0.05,S103
S103,11680,7080,6,I,1,126.0,0.0,11680.0,7080.0,0.7424242424242424,0.19215686274509805,S102
S158,224,1560,120,I,1,18.0,0.0,0.0,5840.0,0.11363636363636363,0.04803921568627451,S159
S159,11616,7040,6,I,1,126.0,0.0,11616.0,7040.0,0.7424242424242424,0.21176470588235294,S158
S180,0,1920,106,I,1,18.0,0.0,0.0,5920.0,0.12121212121212122,0.050980392156862744,S181
S181,11616,1920,104,I,1,126.0,0.0,11584.0,5800.0,0.21212121212121213,0.19509803921568628,S180
S184,0,5120,27,I,1,18.0,0.0,0.0,5960.0,0.3333333333333333,0.05392156862745098,S185
S185,11616,2240,96,I,1,126.0,0.0,11584.0,5800.0,0.22727272727272727,0.19509803921568628,S184
S186,32,5960,6,I,1,18.0,0.0,32.0,5960.0,0.24242424242424243,0.05392156862745098,S187
S187,11584,5760,6,I,1,126.0,0.0,11584.0,5760.0,0.5227272727272727,0.19509803921568628,S186
S200,0,6000,6,I,1,18.0,0.0,0.0,6000.0,0.24242424242424243,0.054901960784313725,S201
S201,11584,5800,6,I,1,126.0,0.0,11584.0,5800.0,0.5681818181818182,0.19509803921568628,S200
S202,256,6000,15,I,1,18.0,0.0,32.0,6000.0,0.2803030303030303,0.054901960784313725,S203
S203,11584,5760,6,I,1,126.0,0.0,11584.0,5760.0,0.5227272727272727,0.19509803921568628,S202
S204,0,5800,11,I,1,18.0,0.0,0.0,6000.0,0.24242424242424243,0.054901960784313725,S205
S205,11584,5720,6,I,1,126.0,0.0,11584.0,5720.0,0.5151515151515151,0.19607843137254902,S204
S206,0,6000,6,I,1,18.0,0.0,0.0,6000.0,0.24242424242424243,0.054901960784313725,S207
S207,11584,5760,6,I,1,126.0,0.0,11584.0,5760.0,0.5227272727272727,0.19509803921568628,S206
S208,0,5960,6,I,1,18.0,0.0,0.0,5960.0,0.24242424242424243,0.05392156862745098,S209
S209,9856,1720,161,I,1,126.0,0.0,11584.0,5760.0,0.13636363636363635,0.19509803921568628,S208
S601,96,1680,113,I,1,18.0,0.0,32.0,5800.0,0.12121212121212122,0.04607843137254902,S602
S602,9760,1680,196,I,1,126.0,0.0,11616.0,6960.0,0.12121212121212122,0.20294117647058824,S601
S603,32,5040,23,I,1,18.0,0.0,32.0,5720.0,0.32575757575757575,0.049019607843137254,S604
S604,11680,6880,6,I,1,126.0,0.0,11680.0,6880.0,0.7121212121212122,0.1715686274509804,S603
S615,0,5720,6,I,1,18.0,0.0,0.0,5720.0,0.24242424242424243,0.049019607843137254,S616
S616,9632,2720,174,I,1,126.0,0.0,11680.0,6880.0,0.07575757575757576,0.1715686274509804,S615
S617,0,5800,6,I,1,18.0,0.0,0.0,5800.0,0.24242424242424243,0.04607843137254902,S618
S618,11648,6360,20,I,1,126.0,0.0,11648.0,6920.0,0.6818181818181818,0.1784313725490196,S617
S641,160,1640,112,I,1,18.0,0.0,32.0,5720.0,0.12121212121212122,0.049019607843137254,S642
S642,9696,1640,199,I,1,126.0,0.0,11712.0,6840.0,0.10606060606060606,0.1568627450980392,S641
S703,192,5320,25,I,1,18.0,0.0,32.0,5800.0,0.3181818181818182,0.04607843137254902,S704
S704,11616,6960,6,I,1,126.0,0.0,11616.0,6960.0,0.7803030303030303,0.20294117647058824,S703
S797,32,5720,6,I,1,18.0,0.0,32.0,5720.0,0.24242424242424243,0.049019607843137254,S798
S798,11680,6640,12,I,1,126.0,0.0,11680.0,6880.0,0.696969696969697,0.1715686274509804,S797
S799,32,2440,90,I,1,18.0,0.0,0.0,5760.0,0.08333333333333333,0.045098039215686274,S800
S800,11648,6880,6,I,1,126.0,0.0,11648.0,6880.0,0.7196969696969697,0.16568627450980392,S799
S811,96,2720,85,I,1,18.0,0.0,0.0,5760.0,0.045454545454545456,0.045098039215686274,S812
S812,11648,6480,17,I,1,126.0,0.0,11648.0,6920.0,0.7348484848484849,0.1784313725490196,S811
S1278,0,2000,79,I,1,18.0,0.0,0.0,4920.0,0.11363636363636363,0.06568627450980392,S1279
S1279,11552,2000,97,I,1,126.0,0.0,11552.0,5640.0,0.20454545454545456,0.2107843137254902,S1278
S1280,11616,2200,90,I,1,18.0,0.0,11584.0,5520.0,0.22727272727272727,0.18235294117647058,S1281
S1281,96,4760,6,I,1,126.0,0.0,96.0,4760.0,0.32575757575757575,0.06862745098039216,S1280
S1282,0,4920,6,I,1,18.0,0.0,0.0,4920.0,0.32575757575757575,0.06568627450980392,S1283
S1283,11552,5640,6,I,1,126.0,0.0,11552.0,5640.0,0.5151515151515151,0.2107843137254902,S1282
S1284,0,4960,7,I,1,18.0,0.0,0.0,5000.0,0.32575757575757575,0.06568627450980392,S1285
S1285,9664,2680,141,I,1,126.0,0.0,11584.0,5680.0,0.06818181818181818,0.1980392156862745,S1284
S1286,0,4920,7,I,1,18.0,0.0,0.0,4960.0,0.32575757575757575,0.06568627450980392,S1287
S1287,11584,5680,6,I,1,126.0,0.0,11584.0,5680.0,0.5,0.1980392156862745,S1286
S1288,11616,5560,7,I,1,18.0,0.0,11584.0,5560.0,0.42424242424242425,0.1843137254901961,S1289
S1289,32,4800,6,I,1,126.0,0.0,32.0,4800.0,0.3181818181818182,0.06470588235294118,S1288
S1290,32,5000,6,I,1,18.0,0.0,32.0,5000.0,0.32575757575757575,0.06666666666666667,S1291
S1291,11584,1840,103,I,1,126.0,0.0,11584.0,5720.0,0.21212121212121213,0.19607843137254902,S1290
S1292,11584,4240,38,I,1,18.0,0.0,11584.0,5520.0,0.007575757575757576,0.18235294117647058,S1293
S1293,64,4800,6,I,1,126.0,0.0,64.0,4800.0,0.32575757575757575,0.06666666666666667,S1292
S1294,11616,1560,107,I,1,18.0,0.0,11584.0,5520.0,0.1590909090909091,0.18235294117647058,S1295
S1295,64,3920,29,I,1,126.0,0.0,32.0,4800.0,0.022727272727272728,0.06470588235294118,S1294
S1296,0,5040,6,I,1,18.0,0.0,0.0,5040.0,0.32575757575757575,0.06666666666666667,S1297
S1297,11584,5640,6,I,1,126.0,0.0,11584.0,5640.0,0.49242424242424243,0.19607843137254902,S1296
S1298,11616,5560,7,I,1,18.0,0.0,11584.0,5560.0,0.42424242424242425,0.1843137254901961,S1299
S1299,32,4800,6,I,1,126.0,0.0,32.0,4800.0,0.3181818181818182,0.06470588235294118,S1298
